Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,Partidas,-9999
541,Leandro Pereira,br BRA,AT,Chapecoense,26,1991,34,26,2.398,26.6,11,0,11,9,2,2,7,1,,,,041,000,041,034,034,Partidas,0e1a4b88
542,Léo Pereira,br BRA,ZG,Atl Paranaense,22,1996,18,17,1.537,17.1,3,1,4,3,0,0,5,0,,,,018,006,023,018,023,Partidas,bd247251
543,Rafael Pereira,br BRA,ZG,Ceará,33,1984,6,6,491,5.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,044a1e39
544,Bruno Peres,br BRA,ZGLT,São Paulo,27,1990,16,14,1.289,14.3,1,0,1,1,0,0,5,0,,,,007,000,007,007,007,Partidas,852351df
545,Luan Peres Petroni,br BRA,ZG,Fluminense,23,1994,9,8,721,8.0,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,a5549ec1
546,Petros,br BRA,LT,São Paulo,28,1989,6,4,420,4.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,7773f73b
547,Juninho Piauiense,br BRA,AT,Ceará,18,1999,2,0,32,0.4,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,88df5586
548,Yago Pikachu,br BRA,LT,Vasco da Gama,25,1992,35,34,2.967,33.0,10,3,13,5,5,5,3,2,,,,030,009,039,015,024,Partidas,462f1e13
549,Rodrigo Pimpão,br BRA,LTAT,Botafogo (RJ),30,1987,31,13,1.425,15.8,1,0,1,1,0,0,9,0,,,,006,000,006,006,006,Partidas,16b6b009
550,Pio,br BRA,LTZG,Ceará,30,1988,8,7,617,6.9,1,1,2,0,1,1,2,0,,,,015,015,029,000,015,Partidas,0d8e6b38
551,Rafael Pires,br BRA,G,Cruzeiro,28,1989,8,8,720,8.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,539f6761
552,Diego Pituca,br BRA,LT,Santos,25,1992,33,28,2.489,27.7,1,3,4,1,0,0,7,1,,,,004,011,014,004,014,Partidas,6f5249ed
553,Anderson Plata,co COL,ATLT,Atl Paranaense,27,1990,3,0,60,0.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,3e20e946
554,Mauricio Plenckauskas Cordeiro,br BRA,AT,Vitória,25,1992,4,1,155,1.7,1,0,1,1,0,0,1,1,,,,058,000,058,058,058,Partidas,996557cf
555,Rodrigo Porto Carioca,br BRA,LT,Paraná,18,1999,2,1,97,1.1,0,1,1,0,0,0,0,0,,,,000,093,093,000,093,Partidas,6ecb034b
556,William Pottker,br BRA,LTAT,Internacional,24,1993,30,27,2.210,24.6,5,0,5,5,0,0,4,1,,,,020,000,020,020,020,Partidas,214a16c5
557,Fernando Prass,br BRA,G,Palmeiras,39,1978,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,eca3ee55
558,Raul Prata,br BRA,ZG,Sport Recife,30,1987,21,18,1.698,18.9,0,1,1,0,0,0,5,1,,,,000,005,005,000,005,Partidas,08d68989
559,Jean Pyerre,br BRA,LT,Grêmio,19,1998,12,7,625,6.9,1,0,1,0,1,1,0,0,,,,014,000,014,000,000,Partidas,b41dc073
560,Juninho Quixadá,br BRA,LT,Ceará,32,1985,14,14,1.028,11.4,2,2,4,2,0,0,1,0,,,,018,018,035,018,035,Partidas,55f874da
561,Igor Rabello,br BRA,ZG,Botafogo (RJ),22,1995,37,37,3.330,37.0,2,0,2,2,0,0,4,0,,,,005,000,005,005,005,Partidas,48048864
562,Zé Rafael,br BRA,LT,Bahia,24,1993,33,33,2.814,31.3,4,3,7,4,0,0,6,0,,,,013,010,022,013,022,Partidas,634b1413
563,Rafinha,br BRA,LT,Cruzeiro,34,1983,19,10,1.014,11.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,26a45c50
564,Ralf,br BRA,LT,Corinthians,33,1984,19,18,1.563,17.4,1,0,1,1,0,0,6,0,,,,006,000,006,006,006,Partidas,e6afdccd
565,Eric Ramires,br BRA,LT,Bahia,17,2000,15,15,1.254,13.9,1,3,4,1,0,0,2,0,,,,007,022,029,007,029,Partidas,37faa4cb
566,Raniel,br BRA,AT,Cruzeiro,21,1996,32,12,1.459,16.2,4,1,5,4,0,1,1,0,,,,025,006,031,025,031,Partidas,099072c2
567,Raul,br BRA,LTZG,Vasco da Gama,21,1996,16,10,956,10.6,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,c2f9cf65
568,Rayan,br BRA,ZG,Paraná,28,1989,20,19,1.699,18.9,0,0,0,0,0,0,7,0,,,,000,000,000,000,000,Partidas,d50e5783
569,Régis,br BRA,LT,Bahia,25,1992,18,4,582,6.5,3,2,5,2,1,1,3,0,,,,046,031,077,031,062,Partidas,0e2331f3
570,Régis,br BRA,ZGLT,São Paulo,28,1989,11,6,633,7.0,0,1,1,0,0,0,3,0,,,,000,014,014,000,014,Partidas,af42c878
571,Javier Reina,co COL,LTAT,Ceará,29,1989,10,4,442,4.9,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,d9190bbf
572,Reinaldo,br BRA,ZGLT,São Paulo,28,1989,31,31,2.732,30.4,2,2,4,2,0,0,6,0,,,,007,007,013,007,013,Partidas,ab3edc87
573,Renatinho,br BRA,LT,Botafogo (RJ),26,1992,17,7,650,7.2,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,7676774a
574,Renato,br BRA,LT,Santos,38,1979,17,8,902,10.0,1,0,1,1,0,0,1,0,,,,010,000,010,010,010,Partidas,dc4d83fe
575,Renê,br BRA,ZG,Flamengo,25,1992,34,33,2.977,33.1,2,5,7,2,0,0,7,0,,,,006,015,021,006,021,Partidas,d000ffc7
576,Réver,br BRA,ZG,Flamengo,33,1985,26,26,2.269,25.2,2,0,2,2,0,0,1,0,,,,008,000,008,008,008,Partidas,1938fd6a
577,Rhayner,br BRA,LT,Vitória,27,1990,20,18,1.495,16.6,1,1,2,1,0,0,6,1,,,,006,006,012,006,012,Partidas,4fcd3c43
578,Rhodolfo,br BRA,ZG,Flamengo,31,1986,12,9,868,9.6,1,0,1,1,0,0,0,1,,,,010,000,010,010,010,Partidas,d993c301
579,Duvier Riascos,co COL,AT,Vasco da Gama,31,1986,6,2,176,2.0,0,0,0,0,0,0,0,1,,,,000,000,000,000,000,Partidas,4e42d741
580,Ribamar,br BRA,AT,Atl Paranaense,20,1997,3,1,105,1.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,2d1494d9
581,Everton Ribeiro,br BRA,LT,Flamengo,28,1989,35,34,2.813,31.3,7,5,12,7,0,0,5,1,,,,022,016,038,022,038,Partidas,68fb50a2
582,Lucas Ribeiro,br BRA,ZG,Vitória,19,1999,16,16,1.379,15.3,0,0,0,0,0,0,4,1,,,,000,000,000,000,000,Partidas,607d64c6
583,Ricardo,br BRA,ZG,Vasco da Gama,20,1997,13,11,982,10.9,0,0,0,0,0,0,6,0,,,,000,000,000,000,000,Partidas,1254cdd7
584,Luis Ricardo,br BRA,ZG,Botafogo (RJ),34,1984,8,6,586,6.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,955855cb
585,Paulo Ricardo,br BRA,ZG,Fluminense,23,1994,9,6,582,6.5,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,d518a829
586,João Ricardo Riedi,br BRA,G,América (MG),29,1988,28,28,2.520,28.0,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,4729d71a
587,Zé Ricardo,br BRA,LT,América (MG),21,1996,18,12,1.097,12.2,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,352f938e
588,Richard,br BRA,LT,Fluminense,23,1994,34,33,2.975,33.1,3,1,4,3,0,0,6,0,,,,009,003,012,009,012,Partidas,e90aa5da
589,Richard,br BRA,G,Paraná,26,1991,23,23,2.025,22.5,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,f2c12e8d
590,Richardson,br BRA,LT,Ceará,26,1991,30,30,2.646,29.4,0,2,2,0,0,1,13,0,,,,000,007,007,000,007,Partidas,ef6b8a6b
591,Charles Rigon Matos,br BRA,LT,Internacional,21,1996,2,1,89,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,6ff91a3a
592,Rildo,br BRA,LT,Vasco da Gama,28,1989,5,2,216,2.4,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,9348b02f
593,Andrés Ríos,ar ARG,ATLT,Vasco da Gama,28,1989,28,23,2.117,23.5,7,1,8,7,0,1,4,0,,,,030,004,034,030,034,Partidas,f825bd33
594,Bruno Ritter,br BRA,LT,Vasco da Gama,18,1999,2,2,158,1.8,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,ee04873e
595,Paulo Roberto,br BRA,LTZG,Corinthians,30,1987,6,4,328,3.6,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,0a3ba5d6
596,Robinho,br BRA,LT,Cruzeiro,30,1987,28,23,2.024,22.5,1,2,3,1,0,0,9,0,,,,004,009,013,004,013,Partidas,8f8809b9
597,Robinho,br BRA,LT,América (MG),23,1995,12,3,409,4.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,421240e2
598,Robinho,br BRA,AT,Ceará,23,1995,2,0,37,0.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,d6d16e83
599,Robinho,br BRA,LT,Fluminense,23,1995,6,0,213,2.4,0,1,1,0,0,0,1,0,,,,000,042,042,000,042,Partidas,421240e2
600,Lucas Robinho,br BRA,AT,Vasco da Gama,18,1999,2,0,36,0.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,8ee95cc6
601,Marcos Rocha,br BRA,ZG,Palmeiras,29,1988,20,20,1.656,18.4,1,2,3,1,0,0,5,0,,,,005,011,016,005,016,Partidas,fdd2f275
602,Rodinei,br BRA,ZG,Flamengo,26,1992,28,23,2.079,23.1,1,2,3,1,0,0,3,0,,,,004,009,013,004,013,Partidas,7696cc85
603,Rodolfo,br BRA,LT,Paraná,25,1992,9,4,449,5.0,1,0,1,1,0,0,1,0,,,,020,000,020,020,020,Partidas,cf130a53
604,Élton Rodrigues Brandão,br BRA,AT,Ceará,32,1985,6,4,423,4.7,2,1,3,2,0,0,2,0,,,,043,021,064,043,064,Partidas,e59be3c8
605,Kayke Rodrigues,br BRA,AT,Bahia,29,1988,3,2,164,1.8,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,c9241f21
606,Kayke Rodrigues,br BRA,AT,Fluminense,29,1988,9,5,452,5.0,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,c9241f21
607,Mateus Rodrigues,br BRA,ZG,Vitória,18,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,79e2fe9c
