Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999
73,Júnior Brandão,br BRA,AT,Goiás,24,1995,6,1,140,1.6,0,0,0,0,0,0,3,0,1.2,1.2,0.1,13,2,2,4,000,000,000,000,000,079,004,082,079,082,Partidas,6605c8ae
74,David Braz,br BRA,ZG,Grêmio,31,1987,18,17,1.569,17.4,2,2,4,2,0,0,0,0,0.9,0.9,1.2,21,7,53,4,011,011,023,011,023,005,007,012,005,012,Partidas,9313b408
75,Brenner,br BRA,AT,São Paulo,19,2000,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,279508bf
76,Brenner,br BRA,ATLT,Fluminense,19,2000,5,2,222,2.5,0,0,0,0,0,0,0,0,0.7,0.7,0.5,12,7,13,23,000,000,000,000,000,028,021,049,028,049,Partidas,279508bf
77,Breno,br BRA,LTZG,Goiás,18,2000,11,3,382,4.2,0,0,0,0,0,0,1,1,0.1,0.1,0.1,02,6,13,3,000,000,000,000,000,003,001,005,003,005,Partidas,083374b7
78,Feliciano Brizuela,py PAR,AT,Avaí,22,1996,4,1,170,1.9,1,0,1,1,0,0,0,0,0.5,0.5,0.0,05,1,2,21,053,000,053,053,053,027,000,027,027,027,Partidas,ebbdb746
79,Eduardo Brock,br BRA,ZG,Ceará,27,1991,9,5,484,5.4,0,0,0,0,0,0,4,0,0.1,0.1,0.1,02,6,23,6,000,000,000,000,000,002,001,003,002,003,Partidas,70774644
80,Bruninho,br BRA,LTAT,Atlético Mineiro,18,2000,13,3,405,4.5,2,0,2,2,0,0,0,0,1.5,1.5,0.2,17,24,10,33,044,000,044,044,044,033,004,037,033,037,Partidas,f7a3e78a
81,Fabrício Bruno,br BRA,ZG,Cruzeiro,22,1996,19,19,1.710,19.0,0,0,0,0,0,0,4,0,0.5,0.5,0.2,07,8,52,4,000,000,000,000,000,002,001,004,002,004,Partidas,470d197b
82,Bryan,br BRA,ZG,Chapecoense,22,1996,9,6,556,6.2,0,0,0,0,0,0,2,0,0.1,0.1,0.2,03,17,15,20,000,000,000,000,000,002,003,004,002,004,Partidas,be207897
83,Ricardo Bueno,br BRA,AT,CSA,31,1987,23,17,1.610,17.9,4,0,4,3,1,1,5,0,5.6,4.8,1.5,63,33,55,92,022,000,022,017,017,031,008,040,027,035,Partidas,768cbb2d
84,Ricardo Bueno,br BRA,AT,Ceará,31,1987,6,4,340,3.8,3,2,5,3,0,1,0,0,2.5,1.7,0.3,20,10,17,35,079,053,132,079,132,066,007,073,046,053,Partidas,768cbb2d
85,Vitor Bueno,br BRA,LTAT,São Paulo,24,1994,28,18,1.650,18.3,6,1,7,6,0,0,2,0,5.0,5.0,1.9,69,56,65,108,033,005,038,033,038,027,010,038,027,038,Partidas,5752f96d
86,Héctor Bustamante,py PAR,ATLT,CSA,23,1995,19,14,1.168,13.0,1,1,2,1,0,0,2,0,1.5,1.5,1.1,26,32,42,112,008,008,015,008,015,011,009,020,011,020,Partidas,453ddcac
87,Ariel Cabral,ar ARG,LT,Cruzeiro,31,1987,16,11,766,8.5,0,1,1,0,0,0,3,0,0.9,0.9,0.4,13,4,57,16,000,012,012,000,012,010,005,015,010,015,Partidas,cbd26ff3
